Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
4932415G12Rik,0,-2.485604416,0,0,0
4932415M13Rik,0,0,40.356758221,36.834059481,21.550521448
4932425I24Rik,-10.08353198,0,0,0,-13.2088768
4932438A13Rik,0,-4.395000107,0,0,0
4933403F05Rik,0,0,-25.61864918,-10.32229111,0.5812370876
4933403G14Rik,0,6.171335456,0,0,0
4933407H18Rik,13.364124275,-5.618404841,0,-11.18697901,0
4933408J17Rik,0,0,0,0,12.363382687
4933417G07Rik,0,0,0,10.573102683,7.1908450895
4933426M11Rik,0,20.485450268,22.695606267,18.704049868,9.5133141827
4933427D14Rik,0,-18.54966702,0,0,0
4933432B09Rik,0,0,0,-10.00919062,0
4933433P14Rik,-10.08353198,0,0,3.5354518391,0
4933436C20Rik,-8.09619576,-12.24926775,-19.31360685,-35.52363035,-31.07335158
4933437F05Rik,0,10.769579635,0,0,0
4933439C10Rik,0,-11.46443539,-15.88956291,-13.76223087,0
5031414D18Rik,0,0,15.48285341,0,0
5031425E22Rik,0,16.466237927,0,0,0
5031426D15Rik,0,-4.250512325,0,-10.27090262,0
5031439G07Rik,0,-11.60686314,-10.29153978,0,0
5033406O09Rik,0,0,9.9354651509,11.397676377,0
5033411D12Rik,-22.0279058,14.471474783,0,0,0
5033418A18Rik,0,0,10.114230888,0,18.281409151
5033430I15Rik,0,0,0,0,20.905044081
5230400M03Rik,0,30.181407312,33.096357717,0,0
5330417C22Rik,0,-23.55959832,-43.31873926,-48.88636272,-34.99746991
5330426P16Rik,0,-6.240725028,-24.65912531,-18.89527331,0
5430402P08Rik,0,1.4519556113,0,-26.61570693,-23.13806274
5430403G16Rik,-14.78406396,0,0,0,0
5430407P10Rik,0,5.0862100073,0,0,-11.43384478
5430411C19Rik,0,0,0,-10.91417095,0
5430414B12Rik,0,0,0,0,-11.9231971
5430416O09Rik,0,0,0,-19.2207048,0
5430417L22Rik,0,0,0,0,-7.98190236
5430427O19Rik,0,26.17100854,42.060027333,34.867954219,30.198252088
5430435G22Rik,0,0,0,17.299191557,15.748947207
5430440L12Rik,0,-6.206157706,-7.987062898,-9.524409159,0
5530401N12Rik,0,0,18.369020651,13.610462107,0
5530402H23Rik,-12.86325842,0,0,0,0
5730403B10Rik,0,-2.772131256,-9.856123249,-16.28568335,-10.76617141
5730416F02Rik,0,0,13.658627975,12.367307388,0
5730416O20Rik,0,0,0,-25.70950157,-18.55982043
5730419I09Rik,0,-1.49715306,0,0,0
5730455P16Rik,0,0,-5.695887567,9.8792660942,7.5454306027
5730469M10Rik,0,0,0,0,-9.047589003
5730494M16Rik,0,-9.505825826,-8.755868314,0,0
5730494N06Rik,0,-2.241030307,0,0,0
5730507C01Rik,-13.61144232,0,0,0,0
5730508B09Rik,0,26.267355609,35.753287877,0,0
5730559C18Rik,0,0,10.815829919,19.353819331,16.381259428
5830409B07Rik,-13.10334345,0,0,0,0
5830416P10Rik,32.238752255,24.560481999,0,0,0
5830418K08Rik,0,0,0,10.072890614,11.868013989
5830420C07Rik,-9.135323372,-0.475548963,0,0,0
5830428M24Rik,0,0,-13.969675,-30.36467557,-19.51705898
5830433M19Rik,0,0,0,-10.05248375,0
5830454E08Rik,0,0,-11.21429346,-11.07490134,0
5830468F06Rik,0,0,0,0,22.65823103
5930430L01Rik,13.893056807,0,-24.18330812,-20.51206801,-31.73926451
6030422H21Rik,0,0,38.343575759,0,0
6030487A22Rik,21.660032395,0,0,-11.621554,-8.904692676
6230424C14Rik,12.125974322,0,-21.70521943,-25.22484023,-15.515783
6330403K07Rik,0,-10.84963497,-34.93470323,-24.00483047,0
6330403L08Rik,0,0,-20.68276906,0,0
6330406I15Rik,0,0,0,15.712931122,0
6330407A03Rik,10.083531978,11.162123929,0,0,0
6330416G13Rik,0,0,0,0,7.7066761175
6330439K17Rik,0,-22.70845236,-26.59065037,-12.01597817,-20.65632823
6330509M05Rik,0,0,-10.4025899,0,0
6430548M08Rik,0,-8.850016231,-2.162889844,0,-22.07359055
6430573F11Rik,0,-7.425022437,0,-14.46278463,-10.62016497
6430590A07Rik,0,0,0,-11.32775908,0
6530401N04Rik,0,0,0,-10.87991769,-11.03606702
6530406A20Rik,0,0,-9.637797113,-11.13731241,0
6720401G13Rik,0,-6.514592863,-26.99816534,-34.077466,-31.07169517
6720456H20Rik,0,-2.535640243,-5.604861891,0,0
6720489N17Rik,0,0,-9.40389001,0,0
7330403C04Rik,0,0,0,-11.42580107,0
8030488J09Rik,0,0,0,-13.31402092,-12.21740486
8030498J20Rik,0,0,0,-9.944100371,-9.848015907
8430406H22Rik,-11.44327113,0,0,0,0
8430408G22Rik,15.072589592,0,0,0,0
8430416G17Rik,0,-16.9792708,-23.03414722,-24.89087525,-13.24815734
8430427H17Rik,-11.67689563,-9.459642531,0,0,0
8430431K14Rik,0,0,0,-16.85143128,-14.25145141
9030224M15Rik,0,0,-39.08184341,-19.38282535,-12.00098094
9030418K01Rik,0,0,-10.99485501,0,0
9030624J02Rik,0,-3.222331818,9.0278726996,7.5267727689,11.176714231
9130014G24Rik,0,0,0,0,-14.79380754
9130017N09Rik,0,29.831629735,72.912154661,47.211751219,21.220976408
9130206I24Rik,0,0,0,0,38.490612199
9130230L23Rik,0,0,0,-16.18675956,-14.81515987
9130401M01Rik,0,0,0,9.6333848673,7.6756884215
9230104L09Rik,0,0,-23.79568373,0,-21.27913458
9230110I02Rik,0,-13.35206707,-12.50195659,-15.35490767,-17.61308939
9230114K14Rik,0,3.5512324753,0,0,0
9330101J02Rik,0,0,0,-15.17634187,-21.7177886
9330151L19Rik,-24.67703212,-13.17656026,0,0,0
9330159F19Rik,-26.62038241,-11.73102509,0,0,-19.0867104
9330159N05Rik,0,0,0,0,-8.652870059
9330161L09Rik,0,0,9.4752606621,0,0
9330171B17Rik,0,31.393760573,0,0,0
9330175E14Rik,0,32.017835737,61.594806028,27.025305486,20.351346693
9330182L06Rik,0,0,-8.338696464,-13.55562124,0
9330188P03Rik,0,0,-11.12398386,-15.95491471,0
9430016H08Rik,0,0,8.5860049017,7.9550699974,0
9430020K01Rik,0,-25.59840542,-20.52862873,-8.086836512,-16.01604593
9430023L20Rik,10.610034547,0,0,0,0
9430040K09Rik,0,5.9032111593,0,0,0
9430079G20Rik,0,0,-15.99551696,-25.93323215,-21.36583943
9530003J23Rik,0,-16.90909965,-28.01228664,-34.87865938,-24.53503561
9530010C24Rik,0,0,-17.31171133,-21.03585811,-18.62941187
9530026P05Rik,0,-13.30051397,-26.50426018,-55.48674193,-53.49736722
9530039L23Rik,0,0,0,0,-20.9477013
9530068E07Rik,20.638692803,-6.747219124,10.382943986,0,0
9530076L18,0,14.415809816,29.517674919,0,0
9530083O12Rik,0,0,-25.68589411,-35.67326927,-34.11315064
9530091C08Rik,0,-19.6085593,-40.58710281,-26.62613048,-21.9851894
9630010G10Rik,0,-17.87522817,0,0,0
9630013D21Rik,0,0,-25.07338527,0,0
9630025F12Rik,0,-6.044497284,0,0,0
9630028I04Rik,0,6.6041276397,-7.760601862,0,0
9630033F20Rik,0,14.173994578,14.005931375,18.254685594,15.19046685
9630041I06Rik,0,0,0,0,26.185387128
9830001H06Rik,15.296413908,-11.14416513,0,0,0
9830163H01Rik,0,0,0,-9.631625197,-8.046668063
9930012K11Rik,0,-11.81878417,-13.43181025,0,0
9930013L23Rik,0,3.8366470027,25.925131841,16.352748865,51.934041044
9930014A18Rik,-10.87136136,-3.279402521,-12.03473527,0,-20.2209494
9930021J03Rik,0,15.853515473,0,-17.7869166,-12.11295696
9930023K05Rik,0,9.8379389667,19.809824306,0,0
9930024M15Rik,0,0,-9.221105266,-16.87812565,0
9930104L06Rik,-9.998720163,0,0,0,0
9930111J21Rik2,0,24.76666843,35.229698737,24.831841619,0
A030009H04Rik,0,1.230183766,0,0,0
A030010E16Rik,0,0,0,-9.168625738,0
A2m,0,0,0,0,48.633947721
A130001C09Rik,0,11.364566679,0,0,0
